date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:53	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%2219-535f97c887600%22	https://promo-theme.com/robots.txt		(from )
15:46:55	80036/80036	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Feb%202022%2008:46:54%20GMT	https://promo-theme.com/cropit-wp/gallery/grid/col-4/	C:/Users/kay.kien/Desktop/123456/col-4/promo-theme.com/cropit-wp/gallery/grid/col-4/index.html	(from )
15:46:55	51338/51338	---MCZ	200	added ('OK')	text/css	etag:W/%22603e3181-c88a%22	https://promo-theme.com/cropit-wp/wp-includes/css/dist/block-library/style.min.css?ver=5.6.7	C:/Users/kay.kien/Desktop/123456/col-4/promo-theme.com/cropit-wp/wp-includes/css/dist/block-library/style.min3bea.css	(from https://promo-theme.com/cropit-wp/gallery/grid/col-4/)
15:46:55	3277/3277	---MCZ	200	added ('OK')	text/css	etag:W/%2260efba1f-ccd%22	https://promo-theme.com/cropit-wp/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=4.0.0	C:/Users/kay.kien/Desktop/123456/col-4/promo-theme.com/cropit-wp/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-stylecce7.css	(from https://promo-theme.com/cropit-wp/gallery/grid/col-4/)
15:46:55	169320/169320	---MCZ	200	added ('OK')	text/css	etag:W/%2260efba1f-29568%22	https://promo-theme.com/cropit-wp/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=4.0.0	C:/Users/kay.kien/Desktop/123456/col-4/promo-theme.com/cropit-wp/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylecce7.css	(from https://promo-theme.com/cropit-wp/gallery/grid/col-4/)
15:46:56	2630/2630	---MCZ	200	added ('OK')	text/css	etag:W/%22603e3192-a46%22	https://promo-theme.com/cropit-wp/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4	C:/Users/kay.kien/Desktop/123456/col-4/promo-theme.com/cropit-wp/wp-content/plugins/contact-form-7/includes/css/styles91d5.css	(from https://promo-theme.com/cropit-wp/gallery/grid/col-4/)
15:46:56	12056/12056	---MCZ	200	added ('OK')	text/css	etag:W/%22603e31d1-2f18%22	https://promo-theme.com/cropit-wp/wp-content/plugins/unyson/framework/extensions/builder/static/css/frontend-grid.css?ver=1.2.12	C:/Users/kay.kien/Desktop/123456/col-4/promo-theme.com/cropit-wp/wp-content/plugins/unyson/framework/extensions/builder/static/css/frontend-gridd115.css	(from https://promo-theme.com/cropit-wp/gallery/grid/col-4/)
15:46:56	8245/8245	---MCZ	200	added ('OK')	text/css	etag:W/%22603e31d2-2035%22	https://promo-theme.com/cropit-wp/wp-content/plugins/unyson/framework/extensions/forms/static/css/frontend.css?ver=2.7.24	C:/Users/kay.kien/Desktop/123456/col-4/promo-theme.com/cropit-wp/wp-content/plugins/unyson/framework/extensions/forms/static/css/frontendda48.css	(from https://promo-theme.com/cropit-wp/gallery/grid/col-4/)
15:46:56	4656/4656	---MCZ	200	added ('OK')	text/css	etag:W/%22583568d4-1230%22	https://promo-theme.com/cropit-wp/wp-content/themes/cropit/js/owl.carousel/owl.carousel.css?ver=5.6.7	C:/Users/kay.kien/Desktop/123456/col-4/promo-theme.com/cropit-wp/wp-content/themes/cropit/js/owl.carousel/owl.carousel3bea.css	(from https://promo-theme.com/cropit-wp/gallery/grid/col-4/)
15:46:57	2566/2566	---MCZ	200	added ('OK')	text/css	etag:W/%22603e31d4-a06%22	https://promo-theme.com/cropit-wp/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/css/background.css?ver=5.6.7	C:/Users/kay.kien/Desktop/123456/col-4/promo-theme.com/cropit-wp/wp-content/plugins/unyson/framework/extensions/shortcodes/shortcodes/section/static/css/background3bea.css	(from https://promo-theme.com/cropit-wp/gallery/grid/col-4/)
